Marca temporal,Dispositivo,Motivo,Comentarios,Fecha inicio,Hora inicio,Fecha fin,Hora fin
17/11/2024 11:42:58,Computadora,Educacional,Cursada maestria InfoVis,16/11/2024,9:00:00 a.m.,16/11/2024,1:00:00 p.m.
17/11/2024 11:46:53,TV,Recreacion,Arcane segunda temporada en Netflix,16/11/2024,2:30:00 p.m.,16/11/2024,4:00:00 p.m.
17/11/2024 11:47:52,Computadora,Educacional,Eleccion de tema TP + form,17/11/2024,11:20:00 a.m.,17/11/2024,11:45:00 a.m.
17/11/2024 13:12:04,Computadora,Recreacion,COD tiritos,17/11/2024,12:00:00 p.m.,17/11/2024,1:00:00 p.m.
18/11/2024 10:39:36,Celular,Recreacion,Youtube/Twitter,18/11/2024,8:30:00 a.m.,18/11/2024,10:15:00 a.m.
18/11/2024 12:17:08,Tablet,Recreacion,Practica piano,18/11/2024,11:15:00 a.m.,18/11/2024,12:30:00 p.m.
19/11/2024 21:07:53,Computadora,Trabajo,Laburo mañana,19/11/2024,9:00:00 a.m.,19/11/2024,1:00:00 p.m.
19/11/2024 21:08:29,Computadora,Trabajo,Trabajo tarde,19/11/2024,2:00:00 p.m.,19/11/2024,6:00:00 p.m.
19/11/2024 21:09:10,Tablet,Recreacion,Piano clase,19/11/2024,7:00:00 p.m.,19/11/2024,8:30:00 p.m.
20/11/2024 21:26:15,Computadora,Trabajo,Trabajo manana,20/11/2024,9:00:00 a.m.,20/11/2024,1:00:00 p.m.
20/11/2024 21:26:44,Computadora,Trabajo,Trabajo tarde,20/11/2024,2:00:00 p.m.,20/11/2024,6:00:00 p.m.
21/11/2024 10:41:20,Computadora,Trabajo,Migracion DB en horario insalubre,21/11/2024,3:00:00 a.m.,21/11/2024,6:30:00 a.m.
21/11/2024 10:42:16,Celular,Recreacion,Youtube + twitter,21/11/2024,7:00:00 a.m.,21/11/2024,8:30:00 a.m.
22/11/2024 0:02:14,Computadora,Trabajo,Trabajo manana,21/11/2024,9:00:00 a.m.,21/11/2024,1:00:00 p.m.
22/11/2024 0:02:38,Computadora,Trabajo,Trabajo tarde,21/11/2024,2:00:00 p.m.,21/11/2024,6:00:00 p.m.
22/11/2024 0:03:28,Computadora,Recreacion,Juegos de PC varios,22/11/2024,9:30:00 p.m.,22/11/2024,11:45:00 p.m.
22/11/2024 16:22:53,Computadora,Trabajo,Trabajo viernes flex mañana,22/11/2024,9:00:00 a.m.,22/11/2024,2:00:00 p.m.
